source,target
s88486,s88487
s279,s281
s88487,s88488
s281,s101718
s281,s282
s88488,s282
s101718,s283
s282,s88489
s282,s283
s88489,s88490
s283,s285
s88490,s88491
s285,s287
s287,s289
s287,s288
s88491,s288
s289,s290
s288,s88492
s288,s290
s88492,s292
s290,s292
s290,s293
s292,s76115
s292,s294
s293,s294
s76115,s298
s294,s296
s298,s297
s296,s88493
s296,s297
s88493,s299
s297,s299
s297,s101719
s299,s302
s299,s300
s101719,s300
s302,s301
s300,s88494
s300,s301
s88494,s303
s301,s96805
s301,s303
s96805,s304
s303,s305
s303,s304
s305,s76116
s304,s306
s76116,s308
s306,s308
s306,s309
s308,s312
s308,s311
s309,s311
s312,s76117
s311,s313
s76117,s315
s313,s314
s314,s316
s315,s76118
s76118,s76119
s316,s318
s76119,s76120
s318,s320
s320,s322
s320,s101720
s76120,s322
s322,s324
s101720,s101721
s324,s325
s324,s76121
s101721,s76121
s325,s326
s76121,s96806
s76121,s326
s96806,s96807
s326,s328
s96807,s331
s328,s330
s330,s332
s331,s96808
s96808,s333
s332,s76125
s332,s333
s76125,s335
s333,s88495
s333,s335
s88495,s338
s335,s338
s335,s96809
s338,s340
s96809,s96810
s340,s342
s96810,s96811
s342,s344
s96811,s96812
s96812,s96813
s344,s346
s96813,s96814
s346,s348
s96814,s351
s348,s350
s350,s352
s351,s353
s352,s101723
s352,s354
s353,s354
s101723,s356
s354,s96815
s354,s356
s96815,s96816
s356,s358
s358,s360
s96816,s96817
s360,s362
s96817,s96818
s96818,s363
s362,s363
s362,s76126
s363,s101725
s363,s364
s76126,s364
s101725,s101726
s364,s365
s101726,s367
s365,s367
s365,s96819
s367,s369
s96819,s96820
s369,s371
s96820,s96821
s371,s372
s371,s373
s96821,s372
s372,s374
s372,s101727
s373,s374
s374,s376
s374,s96822
s101727,s376
s376,s378
s96822,s96823
s96823,s96824
s378,s380
s96824,s381
s380,s76129
s380,s381
s76129,s383
s381,s383
s381,s96825
s383,s385
s96825,s96826
s96826,s386
s385,s101728
s385,s386
s101728,s387
s386,s387
s386,s388
s387,s389
s388,s76130
s76130,s390
s389,s101729
s389,s390
s101729,s392
s390,s392
s390,s393
s392,s396
s392,s394
s393,s394
s396,s395
s394,s395
s394,s397
s395,s398
s397,s96827
s398,s400
s96827,s96828
s400,s402
s96828,s96829
s402,s404
s96829,s96830
s404,s409
s404,s405
s96830,s405
s409,s407
s405,s96831
s405,s407
s96831,s414
s407,s410
s414,s411
s410,s411
s410,s412
s411,s413
s412,s101730
s101730,s101731
s413,s415
s101731,s416
s415,s416
s415,s96832
s416,s418
s96832,s419
s418,s420
s419,s96833
s420,s101732
s420,s422
s96833,s96834
s101732,s101733
s96834,s96835
s422,s76133
s422,s424
s101733,s101734
s96835,s96836
s76133,s427
s424,s427
s101734,s428
s96836,s428
s427,s428
s427,s88496
s428,s101735
s428,s431
s428,s432
s88496,s431
s101735,s433
s431,s76134
s431,s433
s432,s96837
s76134,s435
s433,s435
s96837,s442
s435,s437
s435,s436
s442,s436
s437,s76135
s436,s438
s76135,s76136
s438,s440
s440,s443
s440,s96838
s76136,s443
s443,s445
s443,s101736
s96838,s445
s445,s447
s101736,s453
s453,s448
s447,s76137
s447,s448
s76137,s76138
s448,s450
s450,s451
s76138,s452
s452,s454
s451,s454
s451,s455
s454,s76139
s454,s456
s455,s456
s76139,s458
s456,s101737
s456,s458
s101737,s460
s458,s76140
s458,s460
s76140,s76141
s460,s462
s462,s464
s76141,s76142
s76142,s76143
s464,s466
s76143,s467
s466,s101738
s466,s467
s101738,s101739
s467,s469
s469,s471
s101739,s101740
s101740,s473
s471,s473
s471,s76144
s473,s475
s76144,s76145
s475,s477
s76145,s76146
s76146,s479
s477,s479
s477,s101741
s479,s481
s101741,s101742
s101742,s483
s481,s483
s481,s76147
s483,s485
s76147,s76148
s485,s487
s76148,s76149
s487,s489
s76149,s76150
s76150,s491
s489,s101743
s489,s491
s101743,s492
s491,s492
s491,s76151
s492,s495
s76151,s76152
s495,s101744
s495,s497
s76152,s497
s101744,s498
s497,s76153
s497,s498
s76153,s76154
s498,s499
s499,s501
s76154,s76155
s501,s504
s501,s96839
s76155,s76156
s76156,s76157
s504,s506
s96839,s506
s76157,s76158
s506,s508
s508,s510
s76158,s76159
s510,s101745
s510,s512
s76159,s512
s101745,s513
s512,s76160
s512,s513
s76160,s76161
s513,s88497
s513,s516
s88497,s518
s76161,s76162
s516,s518
s76162,s521
s518,s521
s518,s101746
s521,s88498
s521,s522
s101746,s522
s88498,s523
s522,s523
s522,s76163
s523,s526
s523,s88499
s76163,s526
s526,s527
s526,s76164
s88499,s527
s527,s530
s76164,s76165
s76165,s531
s530,s531
s530,s101747
s531,s534
s531,s532
s101747,s532
s534,s533
s532,s533
s532,s76166
s533,s88501
s533,s536
s76166,s536
s88501,s538
s536,s538
s536,s76167
s538,s101748
s538,s540
s76167,s540
s101748,s542
s540,s76168
s540,s542
s76168,s543
s542,s543
s542,s101749
s543,s545
s101749,s101750
s101750,s101751
s545,s547
s547,s549
s101751,s101752
s549,s552
s549,s76191
s101752,s552
s552,s553
s76191,s76192
s76192,s555
s553,s555
s553,s101753
s555,s557
s101753,s101754
s557,s559
s101754,s101755
s101755,s101756
s559,s561
s561,s563
s101756,s101757
s101757,s101758
s563,s565
s565,s567
s101758,s101759
s567,s569
s101759,s101760
s101760,s570
s569,s602
s569,s570
s602,s572
s570,s572
s570,s573
s572,s574
s572,s101761
s573,s574
s574,s576
s101761,s101762
s101762,s578
s576,s76194
s576,s578
s76194,s579
s578,s101763
s578,s579
s101763,s582
s579,s582
s579,s76195
s582,s584
s76195,s76196
s584,s101764
s584,s586
s76196,s586
s101764,s101765
s586,s588
s588,s76197
s588,s590
s101765,s590
s76197,s76199
s590,s592
s592,s595
s76199,s76200
s76200,s76201
s595,s597
s597,s101767
s597,s598
s76201,s598
s101767,s101768
s598,s600
s101768,s604
s600,s603
s604,s605
s603,s605
s603,s606
s605,s101769
s605,s607
s606,s607
s101769,s609
s607,s609
s607,s612
s609,s610
s609,s611
s612,s610
s610,s613
s611,s88516
s88516,s88517
s613,s614
s614,s617
s614,s616
s88517,s616
s617,s618
s616,s619
s616,s618
s619,s620
s618,s96840
s618,s620
s96840,s621
s620,s622
s620,s621
s622,s623
s621,s88518
s621,s623
s88518,s625
s623,s76202
s623,s101770
s623,s625
s76202,s626
s101770,s626
s625,s88519
s625,s626
s88519,s628
s626,s628
s626,s76203
s628,s88520
s628,s629
s76203,s629
s88520,s88521
s629,s632
s632,s635
s632,s634
s88521,s634
s635,s636
s634,s636
s634,s638
s636,s637
s636,s639
s638,s637
s637,s640
s639,s642
s642,s641
s640,s101771
s640,s641
s101771,s643
s641,s88522
s641,s643
s88522,s88523
s643,s644
s644,s645
s88523,s88524
s88524,s646
s645,s646
s645,s647
s646,s648
s647,s101772
s101772,s650
s648,s649
s650,s651
s649,s654
s649,s651
s654,s652
s651,s652
s651,s653
s652,s656
s652,s655
s653,s655
s656,s657
s655,s657
s655,s88525
s657,s658
s88525,s659
s659,s660
s658,s101773
s658,s660
s101773,s661
s660,s76204
s660,s661
s76204,s76205
s661,s663
s663,s665
s76205,s76206
s76206,s667
s665,s666
s667,s668
s666,s668
s666,s88526
s668,s670
s668,s671
s88526,s670
s670,s672
s671,s76207
s672,s674
s672,s675
s76207,s674
s674,s676
s675,s677
s676,s76208
s676,s678
s677,s678
s76208,s680
s678,s683
s678,s680
s683,s681
s680,s76209
s680,s681
s76209,s682
s681,s682
s681,s101774
s682,s76210
s682,s685
s101774,s685
s76210,s686
s685,s686
s685,s96841
s686,s688
s686,s687
s96841,s687
s688,s76211
s687,s690
s76211,s691
s690,s692
s690,s691
s692,s694
s691,s693
s693,s695
s693,s88527
s694,s695
s695,s697
s695,s696
s88527,s696
s697,s698
s696,s101775
s696,s698
s101775,s699
s698,s699
s698,s88528
s699,s700
s699,s701
s88528,s700
s700,s702
s700,s88529
s701,s702
s702,s76212
s702,s703
s88529,s703
s76212,s705
s703,s705
s703,s706
s705,s707
s705,s101776
s706,s707
s707,s710
s707,s709
s101776,s709
s710,s88530
s709,s711
s88530,s88531
s711,s712
s88531,s713
s712,s76213
s712,s713
s76213,s714
s713,s101777
s713,s714
s101777,s101778
s714,s715
s101778,s717
s715,s728
s715,s717
s728,s718
s717,s719
s717,s718
s719,s723
s718,s720
s723,s721
s720,s721
s720,s88532
s721,s724
s88532,s725
s724,s726
s724,s101779
s725,s726
s726,s729
s101779,s101780
s101780,s730
s729,s741
s729,s730
s741,s731
s730,s101781
s730,s731
s101781,s732
s731,s732
s731,s88533
s732,s734
s732,s76214
s88533,s734
s734,s735
s734,s88536
s76214,s735
s735,s736
s735,s76219
s88536,s736
s736,s88538
s736,s738
s76219,s738
s88538,s739
s738,s739
s738,s76220
s739,s742
s76220,s76223
s76223,s744
s742,s744
s742,s745
s744,s746
s744,s747
s745,s746
s746,s101785
s746,s748
s747,s748
s101785,s749
s748,s754
s748,s749
s754,s750
s749,s750
s749,s751
s750,s752
s750,s753
s751,s752
s752,s757
s752,s755
s753,s755
s757,s756
s755,s756
s755,s88539
s756,s758
s88539,s759
s759,s88540
s758,s760
s760,s76224
s760,s761
s88540,s761
s76224,s762
s761,s763
s761,s762
s763,s764
s762,s764
s762,s767
s764,s101786
s764,s765
s767,s765
s101786,s766
s765,s96842
s765,s766
s96842,s769
s766,s771
s766,s769
s771,s770
s769,s770
s769,s101787
s770,s772
s770,s773
s101787,s772
s772,s774
s773,s775
s775,s76225
s774,s776
s776,s778
s76225,s76226
s76226,s76227
s778,s780
s76227,s782
s780,s782
s780,s783
s782,s789
s782,s784
s783,s784
s789,s785
s784,s785
s784,s786
s785,s787
s786,s76228
s76228,s791
s787,s790
s790,s792
s791,s793
s793,s76229
s792,s794
s794,s101788
s794,s795
s76229,s795
s101788,s796
s795,s796
s795,s76230
s796,s798
s796,s799
s76230,s798
s798,s800
s798,s801
s799,s800
s800,s802
s800,s803
s801,s802
s802,s804
s802,s805
s803,s804
s804,s88541
s804,s806
s805,s806
s88541,s807
s806,s96843
s806,s807
s96843,s809
s807,s88542
s807,s809
s88542,s811
s809,s812
s809,s811
s812,s813
s811,s813
s811,s88543
s813,s814
s88543,s88544
s88544,s816
s814,s96844
s814,s816
s96844,s817
s816,s817
s816,s88545
s817,s820
s88545,s821
s821,s822
s820,s96845
s820,s822
s96845,s823
s822,s823
s822,s88546
s823,s825
s823,s101789
s88546,s825
s825,s827
s825,s76231
s101789,s827
s827,s830
s827,s829
s76231,s829
s830,s831
s829,s832
s829,s831
s832,s833
s831,s833
s831,s88547
s833,s834
s833,s838
s88547,s834
s834,s835
s834,s837
s838,s835
s835,s836
s835,s76232
s837,s836
s836,s841
s836,s839
s76232,s839
s841,s840
s839,s76233
s839,s840
s76233,s842
s840,s101790
s840,s842
s101790,s843
s842,s88548
s842,s843
s88548,s845
s843,s76234
s843,s845
s76234,s76235
s845,s846
s76235,s76236
s846,s847
s76236,s76237
s847,s848
s848,s849
s76237,s76238
s849,s851
s849,s850
s76238,s850
s851,s852
s850,s852
s850,s76239
s852,s854
s852,s855
s76239,s854
s854,s856
s854,s76240
s855,s856
s856,s859
s856,s858
s76240,s858
s859,s860
s858,s860
s858,s96846
s860,s88549
s860,s862
s96846,s862
s88549,s863
s862,s863
s862,s101791
s863,s76241
s863,s865
s101791,s865
s76241,s866
s865,s866
s865,s88550
s866,s867
s866,s96847
s88550,s867
s867,s76242
s867,s869
s96847,s869
s76242,s872
s869,s871
s871,s88551
s871,s873
s872,s873
s88551,s874
s873,s874
s873,s875
s874,s876
s875,s877
s876,s878
s877,s879
s878,s880
s879,s96848
s96848,s96849
s880,s882
s882,s883
s882,s101792
s96849,s883
s883,s885
s883,s886
s101792,s885
s885,s887
s886,s88552
s88552,s888
s887,s888
s887,s96850
s888,s889
s888,s890
s96850,s891
s889,s892
s891,s893
s890,s892
s892,s894
s892,s895
s893,s894
s894,s897
s894,s896
s895,s896
s897,s898
s896,s101793
s896,s898
s101793,s900
s898,s901
s898,s900
s901,s76243
s900,s902
s902,s101794
s902,s903
s76243,s903
s101794,s904
s903,s904
s903,s96851
s904,s905
s96851,s906
s905,s101795
s905,s907
s906,s907
s101795,s908
s907,s910
s907,s908
s910,s909
s908,s96852
s908,s909
s96852,s913
s909,s912
s913,s96853
s912,s914
s96853,s915
s914,s916
s914,s915
s916,s918
s915,s918
s915,s919
s918,s926
s918,s920
s919,s920
s926,s921
s920,s921
s920,s76244
s921,s922
s921,s923
s76244,s922
s922,s924
s923,s101796
s924,s76245
s924,s927
s101796,s927
s76245,s76247
s927,s929
s76247,s931
s929,s931
s929,s101797
s931,s76248
s931,s934
s101797,s934
s76248,s936
s934,s88553
s934,s936
s88553,s937
s936,s96854
s936,s937
s96854,s940
s937,s940
s937,s76249
s940,s942
s940,s941
s76249,s941
s942,s943
s941,s943
s941,s944
s943,s101798
s943,s945
s944,s945
s101798,s946
s945,s946
s945,s954
s946,s101799
s946,s947
s946,s76251
s954,s947
s101799,s101800
s947,s949
s76251,s949
s949,s951
s101800,s101801
s951,s952
s101801,s101802
s952,s956
s952,s955
s101802,s955
s956,s957
s955,s957
s955,s96856
s957,s959
s96856,s960
s960,s967
s959,s961
s967,s962
s961,s76252
s961,s962
s76252,s965
s962,s966
s962,s965
s966,s968
s965,s968
s965,s969
s968,s970
s969,s971
s970,s972
s971,s973
s973,s974
s972,s974
s972,s977
s974,s975
s974,s976
s977,s975
s975,s978
s975,s101803
s976,s978
s978,s979
s101803,s101804
s101804,s101805
s979,s981
s981,s76253
s981,s982
s101805,s982
s76253,s983
s982,s983
s982,s88554
s983,s990
s983,s985
s88554,s985
s990,s986
s985,s986
s985,s101806
s986,s988
s101806,s101807
s101807,s991
s988,s991
s988,s76254
s991,s993
s991,s992
s76254,s992
s993,s994
s992,s994
s992,s101808
s994,s996
s994,s995
s101808,s995
s996,s997
s995,s998
s995,s997
s998,s76255
s997,s999
s76255,s1000
s999,s1000
s999,s88555
s1000,s1001
s88555,s1002
s1002,s1003
s1001,s1003
s1001,s101809
s1003,s76256
s1003,s1004
s101809,s1004
s76256,s1005
s1004,s1006
s1004,s1005
s1006,s1008
s1005,s1007
s1007,s1009
s1007,s101810
s1008,s1009
s1009,s88556
s1009,s1010
s101810,s1010
s88556,s1011
s1010,s101811
s1010,s1011
s101811,s1012
s1011,s1013
s1011,s1012
s1013,s96857
s1012,s1014
s96857,s1016
s1014,s76257
s1014,s1016
s76257,s1017
s1016,s1018
s1016,s1017
s1018,s1019
s1017,s1020
s1017,s1019
s1020,s1021
s1019,s1022
s1019,s1021
s1022,s1023
s1021,s1023
s1021,s1024
s1023,s1025
s1023,s88557
s1024,s1025
s1025,s1027
s1025,s76258
s88557,s1027
s1027,s1028
s76258,s76259
s1028,s1029
s76259,s1030
s1030,s1031
s1029,s1032
s1029,s1031
s1032,s1034
s1031,s1033
s1033,s1035
s1034,s96858
s1035,s1036
s1035,s1038
s96858,s1036
s1036,s1037
s1036,s76260
s1038,s1037
s1037,s1039
s1037,s1040
s76260,s1039
s1039,s1042
s1039,s1041
s1040,s1041
s1042,s1043
s1041,s1043
s1041,s96859
s1043,s1045
s96859,s1046
s1046,s1047
s1045,s1048
s1045,s1047
s1048,s1049
s1047,s1049
s1047,s1050
s1049,s1051
s1050,s101812
s101812,s1052
s1051,s1053
s1051,s1052
s1053,s1054
s1052,s1055
s1052,s88558
s1052,s1054
s1055,s1056
s88558,s1056
s1054,s1056
s1054,s1057
s1056,s1061
s1056,s1058
s1057,s1058
s1061,s1059
s1058,s1059
s1058,s1060
s1059,s1062
s1060,s1063
s1062,s1064
s1062,s1065
s1063,s1064
s1064,s1066
s1064,s101813
s1065,s1066
s1066,s1067
s1066,s88559
s101813,s1067
s1067,s1069
s1067,s1070
s88559,s1069
s1069,s1071
s1070,s1072
s1071,s1073
s1072,s1074
s1074,s96860
s1073,s1075
s96860,s96861
s1075,s1077
s96861,s1078
s1077,s1079
s1077,s1078
s1079,s1081
s1078,s1081
s1078,s1082
s1081,s1083
s1082,s1084
s1084,s1086
s1083,s1085
s1086,s1087
s1085,s1087
s1085,s1088
s1087,s1090
s1087,s1089
s1088,s1089
s1090,s1091
s1089,s1091
s1089,s88560
s1091,s1092
s1091,s1093
s88560,s1092
s1092,s1094
s1093,s76261
s76261,s76262
s1094,s1096
s76262,s1097
s1096,s1097
s1096,s1098
s1097,s1099
s1098,s1100
s1099,s1101
s1100,s1102
s1102,s1103
s1101,s1104
s1101,s1103
s1104,s76263
s1103,s1105
s1105,s1106
s1105,s1109
s76263,s1106
s1106,s1107
s1106,s1108
s1109,s1107
s1107,s1111
s1107,s1110
s1108,s1110
s1111,s1112
s1110,s1112
s1110,s1113
s1112,s1117
s1112,s1114
s1113,s1114
s1117,s1115
s1114,s1116
s1114,s1115
s1116,s1118
s1115,s101814
s1115,s1118
s101814,s1119
s1118,s1119
s1118,s96862
s1119,s1121
s1119,s88561
s96862,s1121
s1121,s1122
s88561,s88562
s1122,s1123
s1122,s76264
s88562,s1123
s1123,s1124
s76264,s1125
s1125,s76265
s1124,s1126
s76265,s76266
s1126,s1127
s1127,s1128
s76266,s1129
s1129,s1131
s1128,s1130
s1131,s76267
s1130,s1134
s76267,s1135
s1134,s1135
s1134,s1136
s1135,s76270
s1135,s1137
s1136,s1137
s76270,s1138
s1137,s1138
s1137,s1139
s1138,s1140
s1139,s88564
s1140,s1142
s88564,s88565
s1142,s1144
s88565,s88566
s1144,s1145
s88566,s88567
s1145,s1148
s1145,s1147
s88567,s1147
s1148,s1149
s1147,s88568
s1147,s1149
s88568,s1152
s1149,s1151
s1151,s1153
s1152,s88569
s88569,s1154
s1153,s1154
s1153,s101815
s1154,s1156
s101815,s1157
s1156,s1159
s1156,s1158
s1157,s1158
s1159,s1160
s1158,s1160
s1158,s1161
s1160,s1162
s1161,s1163
s1162,s1164
s1162,s88570
s1163,s1164
s1164,s1166
s1164,s1167
s88570,s1166
s1166,s1168
s1166,s1169
s1167,s1168
s1168,s1171
s1168,s1170
s1169,s1170
s1171,s1172
s1170,s1172
s1170,s88571
s1172,s1174
s88571,s1175
s1174,s96863
s1174,s1176
s1175,s1176
s96863,s1179
s1176,s1178
s1178,s1180
s1179,s1181
s1181,s1184
s1180,s1182
s1184,s1183
s1182,s1183
s1182,s101816
s1183,s1185
s101816,s101817
s1185,s1187
s1185,s76273
s101817,s1187
s1187,s1188
s76273,s1189
s1189,s1190
s1188,s1190
s1188,s1191
s1190,s1192
s1190,s101818
s1191,s1192
s1192,s1194
s1192,s1195
s101818,s1194
s1194,s1196
s1195,s1197
s1196,s1198
s1197,s1200
s1200,s1201
s1198,s76274
s1198,s1201
s76274,s76275
s1201,s1203
s1203,s88572
s1203,s1205
s76275,s1205
s88572,s1206
s1205,s1206
s1205,s1207
s1206,s1208
s1206,s88573
s1207,s1208
s1208,s1209
s1208,s76276
s88573,s1209
s1209,s101819
s1209,s1211
s76276,s1211
s101819,s1213
s1211,s1212
s1212,s76277
s1212,s1214
s1213,s1214
s76277,s1216
s1214,s1216
s1214,s1217
s1216,s1218
s1217,s101820
s101820,s1219
s1218,s1220
s1218,s1219
s1220,s76278
s1219,s1222
s1222,s1224
s76278,s76279
s1224,s1226
s76279,s76280
s76280,s76281
s1226,s1227
s1227,s1229
s76281,s76282
s1229,s1231
s76282,s76283
s76283,s76284
s1231,s1233
s1233,s1235
s76284,s76285
s76285,s76286
s1235,s1237
s76286,s76287
s1237,s1238
s1238,s1240
s76287,s76288
s1240,s1241
s1240,s101821
s76288,s1241
s1241,s76289
s1241,s1243
s101821,s1243
s76289,s1245
s1243,s1245
s1243,s101822
s1245,s1246
s1245,s1247
s101822,s1246
s1246,s1248
s1247,s1250
s1250,s76290
s1248,s1251
s1251,s1252
s1251,s101823
s76290,s1252
s1252,s1254
s101823,s101824
s1254,s1255
s101824,s1256
s1256,s1257
s1255,s1258
s1255,s1257
s1258,s76291
s1257,s1259
s1259,s1261
s76291,s76292
s1261,s1264
s1261,s1271
s76292,s1264
s1264,s1266
s1264,s1265
s1271,s1265
s1266,s76293
s1265,s1267
s76293,s76294
s1267,s1268
s76294,s76295
s1268,s1270
s1270,s1272
s1270,s101825
s76295,s1272
s1272,s1274
s101825,s101826
s1274,s1276
s101826,s101827
s1276,s1277
s101827,s101828
s1277,s1279
s101828,s101829
s101829,s101830
s1279,s1281
s1281,s1283
s101830,s101831
s1283,s1285
s101831,s101832
s101832,s101833
s1285,s1287
s1287,s1289
s101833,s101834
s101834,s1291
s1289,s1290
s1291,s101835
s1290,s1292
s1292,s1294
s101835,s101836
s101836,s1296
s1294,s1296
s1294,s88144
s1296,s1297
s1296,s1298
s88144,s1297
s1297,s101837
s1297,s1299
s1298,s1299
s101837,s1300
s1299,s1300
s1299,s1301
s1300,s101838
s1300,s1302
s1301,s1302
s101838,s1303
s1302,s1303
s1302,s76296
s1303,s1305
s76296,s76297
s1305,s1306
s76297,s1307
s1307,s1308
s1306,s1308
s1306,s1309
s1308,s1310
s1308,s1311
s1309,s1310
s1310,s1312
s1310,s1313
s1311,s1312
s1312,s1314
s1313,s1315
s1314,s1316
s1315,s96864
s96864,s96865
s1316,s1318
s96865,s1324
s1318,s1320
s1324,s1321
s1320,s1322
s1320,s1321
s1322,s1323
s1321,s101839
s1321,s1323
s1321,s88145
s101839,s1327
s1323,s1325
s88145,s1325
s1327,s1326
s1325,s1326
s1325,s76298
s1326,s1328
s1326,s96866
s76298,s1328
s1328,s1330
s1328,s1331
s96866,s1330
s1330,s1332
s1331,s88147
s1332,s1333
s1332,s76299
s88147,s1333
s1333,s1335
s1333,s1334
s76299,s1334
s1335,s1336
s1334,s1336
s1334,s76300
s1336,s1337
s76300,s1338
s1337,s101840
s1337,s1339
s1338,s1339
s101840,s1340
s1339,s1340
s1339,s1341
s1340,s1342
s1341,s76301
s76301,s1343
s1342,s1343
s1342,s96867
s1343,s76302
s1343,s1344
s96867,s1344
s76302,s76304
s1344,s1345
s76304,s1346
s1345,s96868
s1345,s1346
s96868,s1347
